BCI-AV#,Blissymbol,English,Derivation - explanation,POS,Swedish,Derivation - explanation svenska ,Norwegian,Derivation - explanation Norwegian ,Finnish,Hungarian,German,Dutch,Afrikaans,Russian,Icelandic,Lithuanian,Latvian,Polish,French,Spanish,Portugese,Italian,Danish,WinBliss,
8498,,"two_(digit),2,modifier_(second_person)",(Arabic numeral 2) - Character,WHITE,"två, 2",(Arabic numeral 2)   - Character,"to, 2",eksemp,"kaksi, 2","kettő, 2","zwei, 2","twee, 2","twee, 2","два, 2","tveir, 2","du, 2","divi, (cipars), 2","dwa (cyfra), 2","deux (chiffre), 2","dos (dígito), 2","dois, 2","due, 2",2,Y#3#1#0#0#12#33#13##0#4*%£,
8499,,"three_(digit),3,modifier_(third_person)",(Arabic numeral 3) - Character,WHITE,"tre, 3",(Arabic numeral 3)   - Character,"tre, 3",,"kolme, 3","három, 3","drei, 3","drie, 3","drie, 3","три, 3","þrír, 3","trys, 3","trīs, (cipars), 3","trzy (cyfra), 3","trois (chiffre), 3","tres (dígito), 3","três, 3","tre, 3",3,Y#4#1#0#0#12#35#13##0#4*%£,
8500,,"four_(digit),4",(Arabic numeral 4) - Character,WHITE,"fyra, 4",(Arabic numeral 4)   - Character,"fire, 4",,"neljä, 4","négy, 4","vier, 4","vier, 4","vier, 4","четыре, 4","fjórir, 4","keturi, 4","četri, (cipars), 4","cztery (cyfra), 4","quatre (chiffre), 4","cuatro (dígito), 4","quatro, 4","quattro, 4",4,Y#5#1#0#0#12#35#13##0#4*%£,
8501,,"five_(digit),5",(Arabic numeral 5) - Character,WHITE,"fem, 5",(Arabic numeral 5)   - Character,"fem, 5",,"viisi, 5","öt, 5","fünf, 5","vijf, 5","vyf, 5","пять, 5","fimm, 5","penki, 5","pieci, (cipars), 5","pięć (cyfra), 5","cinq (chiffre), 5","cinco (dígito), 5","cinco, 5","cinque, 5",5,Y#6#1#0#0#12#33#13##0#4*%£,
8502,,"six_(digit),6",(Arabic numeral 6) - Character,WHITE,"sex, 6",(Arabic numeral 6)   - Character,"seks, 6",,"kuusi, 6","hat, 6","sechs, 6","zes, 6","ses, 6","шесть, 6","sex, 6","šeši, 6","seši, (cipars), 6","sześć (cyfra), 6","six (chiffre), 6","seis (dígito), 6","seis, 6","sei, 6",6,Y#7#1#0#0#12#35#13##0#4*%£,
8503,,"seven_(digit),7",(Arabic numeral 7) - Character,WHITE,"sju, 7",(Arabic numeral 7)   - Character,"syv, 7",,"seitsemän, 7","hét, 7","sieben, 7","zeven, 7","sewe, 7","семь, 7","sjö, 7","septyni, 7","septiņi, (cipars), 7","siedem (cyfra), 7","sept (chiffre), 7","siete (dígito), 7","sete, 7","sette, 7",7,Y#8#1#0#0#12#29#13##0#4*%£,
8504,,"eight_(digit),8",(Arabic numeral 8) - Character,WHITE,"åtta, 8",(Arabic numeral 8)   - Character,"åtte, 8",,"kahdeksan, 8","nyolc, 8","acht, 8","acht, 8","agt, 8","восемь, 8","átta, 8","aštuoni, 8","astoņi, (cipars), 8","osiem (cyfra), 8","huit (chiffre), 8","ocho (dígito), 8","oito, 8","otto, 8",8,Y#9#1#0#0#12#35#13##0#4*%£,
8505,,"nine_(digit),9",(Arabic numeral 9) - Character,WHITE,"nio, 9",(Arabic numeral 9)   - Character,"ni, 9",,"yhdeksän, 9","kilenc, 9","neun, 9","negen, 9","nege, 9","девять, 9","níu, 9","devyni, 9 ","deviņi, (cipars), 9","dziewięć (cyfr), 9","neuf (chiffre), 9","nueve (dígito), 9","nove, 9","nove, 9",9,Y#10#1#0#0#12#33#13##0#4*%£,
8510,,zero_(index_number),(Arabic numeral 0 - small) - Character,WHITE,noll (indexsiffra),(Arabic numeral 0 - small)   - Character,null (indekstall),,,,Null (Indexnummer),nul (index nummer),nul (indeks nommer),ноль (номер индекса),núll (vísitala),nulis (indekso numeris),nulle (ideksa numurs),,,,,,,Y#11#1#0#0#14#35#15##0#4*%£,
8511,,one_(index_number),(Arabic numeral 1 - small) - Character,WHITE,ett (indexsiffra),(Arabic numeral 1 - small)   - Character,en (indekstall),,,,eins (Indexnummer),één (index nummer),een (indeks nommer),один (номер индекса),einn (vísitala),vienas (indekso numeris),viens (indeksa numurs),,,,,,,Y#12#1#0#0#14#35#15##0#4*%£,
8512,,two_(index_number),(Arabic numeral 2 - small) - Character,WHITE,två (indexsiffra),(Arabic numeral 2 - small)   - Character,to (indekstall),,,,zwei (Indexnummer),twee (index nummer),twee (indeks nommer),два (номер индекса),tveir (vísitala),du (indekso numeris),divi (indeksa numurs),,,,,,,Y#13#1#0#0#14#35#15##0#4*%£,
8513,,three_(index_number),(Arabic numeral 3 - small) - Character,WHITE,tre (indexsiffra),(Arabic numeral 3 - small)   - Character,tre (indekstall),,,,drei (Indexnummer),drie (index nummer),drie (indeks nommer),три (номер индекса),þrír (vísitala),trys (indekso numeris),trīs (indeksa numurs),,,,,,,Y#14#1#0#0#14#35#15##0#4*%£,
8514,,four_(index_number),(Arabic numeral 4 - small) - Character,WHITE,fyra (indexsiffra),(Arabic numeral 4 - small)   - Character,fire (indekstall),,,,vier (Indexnummer),vier (index nummer),vier (indeks nommer),четыре (номер индекса),fjórir (vísitala),keturi (indekso numeris),četri (indeksa numurs),,,,,,,Y#15#1#0#0#14#35#15##0#4*%£,
8515,,five_(index_number),(Arabic numeral 5 - small) - Character,WHITE,fem (indexsiffra),(Arabic numeral 5 - small)   - Character,fem (indekstall),,,,fünf (Indexnummer),vijf (index nummer),vyf (indeks nommer),пять (номер индекса),fimm (vísitala),penki (indekso numeris),pieci (indeksa numurs),,,,,,,Y#16#1#0#0#14#35#15##0#4*%£,
8516,,six_(index_number),(Arabic numeral 6 - small) - Character,WHITE,sex (indexsiffra),(Arabic numeral 6 - small)   - Character,seks (indekstall),,,,sechs (Indexnummer),zes (index nummer),ses (indeks nommer),шесть (номер индекса),sex (vísitala),šeši (indekso numeris),seši (indeksa numurs),,,,,,,Y#17#1#0#0#14#35#15##0#4*%£,
8517,,seven_(index_number),(Arabic numeral 7 - small) - Character,WHITE,sju (indexsiffra),(Arabic numeral 7 - small)   - Character,syv (indekstall),,,,sieben (Indexnummer),zeven (index nummer),sewe (indeks nommer),семь (номер индекса),sjö (vísitala),septyni (indekso numeris),septiņi (indeksa numurs),,,,,,,Y#18#1#0#0#14#35#15##0#4*%£,
8518,,eight_(index_number),(Arabic numeral 8 - small) - Character,WHITE,åtta (indexsiffra),(Arabic numeral 8 - small)   - Character,åtte (indekstall),,,,acht (Indexnummer),acht (index nummer),agt (indeks nommer),восемь (номер индекса),átta (vísitala),aštuoni (indekso numeris),astoņi (indeksa numurs),,,,,,,Y#19#1#0#0#14#35#15##0#4*%£,
8519,,nine_(index_number),(Arabic numeral 9 - small) - Character,WHITE,nio (indexsiffra),(Arabic numeral 9 - small)   - Character,ni (indekstall),,,,neun (Indexnummer),negen (index nummer),nege (indeks nommer),девять (номер индекса),níu (vísitala),devyni (indekso numeris),deviņi (indeksa numurs),,,,,,,Y#20#1#0#0#14#37#15##0#4*%£,
8521,,a_(lowercase),(Latin English lowercase letter a) - Character,WHITE,a (lilla),(Latin English lowercase letter a)  - Character,a (liten bokstav),,a (pieni kirjain),a (kisbetű),a (Kleinbuchstabe),a (kleine letter),a (kleinletter),a (строчная буква),a (lágstafur),a_ (mažoji),a (mazais burts),a (mała litera),a (lettre minuscule),a (letra minúscula),a (letra minúscula),a (lettera minuscola),a (lille bogstav),Z#1#1#0#0#10#35#11#a#0#6*%£,
8522,,b_(lowercase),(Latin English lowercase letter b) - Character,WHITE,b (lilla),(Latin English lowercase letter b)  - Character,b (liten bokstav),,b (pieni kirjain),b (kisbetű),b (Kleinbuchstabe),b (kleine letter),b (kleinletter),b (строчная буква),b (lágstafur),b_ (mažoji),b (mazais burts),b (mała litera),b (lettre minuscule),b (letra minúscula),b (letra minúscula),b (lettera minuscola),b (lille bogstav),Z#1#1#0#0#10#35#11#b#0#6*%£,
8523,,c_(lowercase),(Latin English lowercase letter c) - Character,WHITE,c (lilla),(Latin English lowercase letter c)  - Character,c (liten bokstav),,c (pieni kirjain),c (kisbetű),c (Kleinbuchstabe),c (kleine letter),c kleinletter,c (строчная буква),c (lágstafur),c_ (mažoji),c (mazais burts),c (mała litera),c (lettre minuscule),c (letra minúscula),c (letra minúscula),c (lettera minuscola),c (lille bogstav),Z#1#1#0#0#10#35#11#c#0#6*%£,
8524,,d_(lowercase),(Latin English lowercase letter d) - Character,WHITE,d (lilla),(Latin English lowercase letter d)  - Character,d (liten bokstav),,d (pieni kirjain),d (kisbetű),d (Kleinbuchstabe),d (kleine letter),d (kleinletter),d (строчная буква),d (lágstafur),d_ (mažoji),d (mazais burts),d (mała litera),d (lettre minuscule),d (letra minúscula),d (letra minúscula),d (lettera minuscola),d (lille bogstav),Z#1#1#0#0#10#35#11#d#0#6*%£,
8525,,e_(lowercase),(Latin English lowercase letter e) - Character,WHITE,e (lilla),(Latin English lowercase letter e)  - Character,e (liten bokstav),,e (pieni kirjain),e (kisbetű),e (Kleinbuchstabe),e (kleine letter),e (kleinletter),e (строчная буква),e (lágstafur),e_ (mažoji),e (mazais burts),e (mała litera),e (lettre minuscule),e (letra minúscula),e (letra minúscula),e (lettera minuscola),e (lille bogstav),Z#1#1#0#0#10#35#11#e#0#6*%£,
8526,,f_(lowercase),(Latin English lowercase letter f) - Character,WHITE,f (lilla),(Latin English lowercase letter f)  - Character,f (liten bokstav),,f (pieni kirjain),f (kisbetű),f (Kleinbuchstabe),f (kleine letter),f (kleinletter),f (строчная буква),f (lágstafur),f_ (mažoji),f (mazais burts),f (mała litera),f (lettre minuscule),f (letra minúscula),f (letra minúscula),f (lettera minuscola),f (lille bogstav),Z#1#1#0#0#10#35#11#f#0#6*%£,
8527,,g_(lowercase),(Latin English lowercase letter g) - Character,WHITE,g (lilla),(Latin English lowercase letter g)  - Character,g (liten bokstav),,g (pieni kirjain),g (kisbetű),g (Kleinbuchstabe),g (kleine letter),g (kleinletter),g (строчная буква),g (lágstafur),g_ (mažoji),g (mazais burts),g (mała litera),g (lettre minuscule),g (letra minúscula),g (letra minúscula),g (lettera minuscola),g (lille bogstav),Z#1#1#0#0#10#35#11#g#0#6*%£,
8528,,h_(lowercase),(Latin English lowercase letter h) - Character,WHITE,h (lilla),(Latin English lowercase letter h)  - Character,h (liten bokstav),,h (pieni kirjain),h (kisbetű),h (Kleinbuchstabe),h (kleine letter),h (kleinletter),h (строчная буква),h (lágstafur),h_ (mažoji),h (mazais burts),h (mała litera),h (lettre minuscule),h (letra minúscula),h (letra minúscula),h (lettera minuscola),h (lille bogstav),Z#1#1#0#0#10#35#11#h#0#6*%£,
8529,,i_(lowercase),(Latin English lowercase letter i) - Character,WHITE,i (lilla),(Latin English lowercase letter i)  - Character,i (liten bokstav),,i (pieni kirjain),i (kisbetű),i (Kleinbuchstabe),i (kleine letter),i (kleinletter),i (строчная буква),i (lágstafur),i_ (mažoji),i (mazais burts),i (mała litera),i (lettre minuscule),i (letra minúscula),i (letra minúscula),i (lettera minuscola),i (lille bogstav),Z#1#1#0#0#10#35#11#i#0#6*%£,
8530,,j_(lowercase),(Latin English lowercase letter j) - Character,WHITE,j (lilla),(Latin English lowercase letter j)  - Character,j (liten bokstav),,j (pieni kirjain),j (kisbetű),j (Kleinbuchstabe),j (kleine letter),j (kleinletter),j (строчная буква),j (lágstafur),j_ (mažoji),j (mazais burts),j (mała litera),j (lettre minuscule),j (letra minúscula),j (letra minúscula),j (lettera minuscola),j (lille bogstav),Z#1#1#0#0#10#35#11#j#0#6*%£,
8531,,k_(lowercase),(Latin English lowercase letter k) - Character,WHITE,k (lilla),(Latin English lowercase letter k)  - Character,k (liten bokstav),,k (pieni kirjain),k (kisbetű),k (Kleinbuchstabe),k (kleine letter),k (kleinletter),k (строчная буква),k (lágstafur),k_ (mažoji),k (mazais burts),k (mała litera),k (lettre minuscule),k (letra minúscula),k (letra minúscula),k (lettera minuscola),k (lille bogstav),Z#1#1#0#0#10#35#11#k#0#6*%£,
8532,,l_(lowercase),(Latin English lowercase letter l) - Character,WHITE,l (lilla),(Latin English lowercase letter l)  - Character,l (liten bokstav),,l (pieni kirjain),l (kisbetű),l (Kleinbuchstabe),l (kleine letter),l (kleinletter),l (строчная буква),l (lágstafur),l_ (mažoji),l (mazais burts),l (mała litera),l (lettre minuscule),l (letra minúscula),l (letra minúscula),l (lettera minuscola),l (lille bogstav),Z#1#1#0#0#10#35#11#l#0#6*%£,
8533,,m_(lowercase),(Latin English lowercase letter m) - Character,WHITE,m (lilla),(Latin English lowercase letter m)  - Character,m (liten bokstav),,m (pieni kirjain),m (kisbetű),m (Kleinbuchstabe),m (kleine letter),m kleinletter,m (строчная буква),m (lágstafur),m_ (mažoji),m (mazais burts),m (mała litera),m (lettre minuscule),m (letra minúscula),m (letra minúscula),m (lettera minuscola),m (lille bogstav),Z#1#1#0#0#10#35#11#m#0#6*%£,
8534,,n_(lowercase),(Latin English lowercase letter n) - Character,WHITE,n (lilla),(Latin English lowercase letter n)  - Character,n (liten bokstav),,n (pieni kirjain),n (kisbetű),n (Kleinbuchstabe),n (kleine letter),n (kleinletter),n (строчная буква),n (lágstafur),n_ (mažoji),n (mazais burts),n (mała litera),n (lettre minuscule),n (letra minúscula),n (letra minúscula),n (lettera minuscola),n (lille bogstav),Z#1#1#0#0#10#35#11#n#0#6*%£,
8535,,o_(lowercase),(Latin English lowercase letter o) - Character,WHITE,o (lilla),(Latin English lowercase letter o)  - Character,o (liten bokstav),,o (pieni kirjain),o (kisbetű),o (Kleinbuchstabe),o (kleine letter),o (kleinletter),o (строчная буква),o (lágstafur),o_ (mažoji),o (mazais burts),o (mała litera),o (lettre minuscule),o (letra minúscula),o (letra minúscula),o (lettera minuscola),o (lille bogstav),Z#1#1#0#0#10#35#11#o#0#6*%£,
8536,,p_(lowercase),(Latin English lowercase letter p) - Character,WHITE,p (lilla),(Latin English lowercase letter p)  - Character,p (liten bokstav),,p (pieni kirjain),p (kisbetű),p (Kleinbuchstabe),p (kleine letter),p (kleinletter),p (строчная буква),p (lágstafur),p_ (mažoji),p (mazais burts),p (mała litera),p (lettre minuscule),p (letra minúscula),p (letra minúscula),p (lettera minuscola),p (lille bogstav),Z#1#1#0#0#10#35#11#p#0#6*%£,
8537,,q_(lowercase),(Latin English lowercase letter q) - Character,WHITE,q (lilla),(Latin English lowercase letter q)  - Character,q (liten bokstav),,q (pieni kirjain),q (kisbetű),q (Kleinbuchstabe),q (kleine letter),q (kleinletter),q (строчная буква),q (lágstafur),q_ (mažoji),q (mazais burts),q (mała litera),q (lettre minuscule),q (letra minúscula),q (letra minúscula),q (lettera minuscola),q (lille bogstav),Z#1#1#0#0#10#35#11#q#0#6*%£,
8538,,r_(lowercase),(Latin English lowercase letter r) - Character,WHITE,r (lilla),(Latin English lowercase letter r)  - Character,r (liten bokstav),,r (pieni kirjain),r (kisbetű),r (Kleinbuchstabe),r (kleine letter),r (kleinletter),r (строчная буква),r (lágstafur),r_ (mažoji),r (mazais burts),r (mała litera),r (lettre minuscule),r (letra minúscula),r (letra minúscula),r (lettera minuscola),r (lille bogstav),Z#1#1#0#0#10#35#11#r#0#6*%£,
8539,,s_(lowercase),(Latin English lowercase letter s) - Character,WHITE,s (lilla),(Latin English lowercase letter s)  - Character,s (liten bokstav),,s (pieni kirjain),s (kisbetű),s (Kleinbuchstabe),s (kleine letter),s (kleinletter),s (строчная буква),s (lágstafur),s_ (mažoji),s (mazais burts),s (mała litera),s (lettre minuscule),s (letra minúscula),s (letra minúscula),s (lettera minuscola),s (lille bogstav),Z#1#1#0#0#10#35#11#s#0#6*%£,
8540,,t_(lowercase),(Latin English lowercase letter t) - Character,WHITE,t (lilla),(Latin English lowercase letter t)  - Character,t (liten bokstav),,t (pieni kirjain),t (kisbetű),t (Kleinbuchstabe),t (kleine letter),t (kleinletter),t (строчная буква),t (lágstafur),t _ (mažoji),t (mazais burts),t (mała litera),t (lettre minuscule),t (letra minúscula),t (letra minúscula),t (lettera minuscola),t (lille bogstav),Z#1#1#0#0#10#35#11#t#0#6*%£,
8541,,u_(lowercase),(Latin English lowercase letter u) - Character,WHITE,u (lilla),(Latin English lowercase letter u)  - Character,u (liten bokstav),,u (pieni kirjain),u (kisbetű),u (Kleinbuchstabe),u (kleine letter),u (kleinletter),u (строчная буква),u (lágstafur),u_ (mažoji),u (mazais burts),u (mała litera),u (lettre minuscule),u (letra minúscula),u (letra minúscula),u (lettera minuscola),u (lille bogstav),Z#1#1#0#0#10#35#11#u#0#6*%£,
8542,,v_(lowercase),(Latin English lowercase letter v) - Character,WHITE,v (lilla),(Latin English lowercase letter v)  - Character,v (liten bokstav),,v (pieni kirjain),v (kisbetű),v (Kleinbuchstabe),v (kleine letter),v (kleinletter),v (строчная буква),v (lágstafur),v_ (mažoji),v (mazais burts),v (mała litera),v (lettre minuscule),v (letra minúscula),v (letra minúscula),v (lettera minuscola),v (lille bogstav),Z#1#1#0#0#10#35#11#v#0#6*%£,
8543,,w_(lowercase),(Latin English lowercase letter w) - Character,WHITE,w (lilla),(Latin English lowercase letter w)  - Character,w (liten bokstav),,w (pieni kirjain),w (kisbetű),w (Kleinbuchstabe),w (kleine letter),w (kleinletter),w (строчная буква),w (lágstafur),w_ (mažoji),w (mazais burts),w (mała litera),w (lettre minuscule),w (letra minúscula),w (letra minúscula),w (lettera minuscola),w (lille bogstav),Z#1#1#0#0#10#35#11#w#0#6*%£,
8544,,x_(lowercase),(Latin English lowercase letter x) - Character,WHITE,x (lilla),(Latin English lowercase letter x)  - Character,x (liten bokstav),,x (pieni kirjain),x (kisbetű),x (Kleinbuchstabe),x (kleine letter),x (kleinletter),x (строчная буква),x (lágstafur),x_ (mažoji),x (mazais burts),x (mała litera),x (lettre minuscule),x (letra minúscula),x (letra minúscula),x (lettera minuscola),x (lille bogstav),Z#1#1#0#0#10#35#11#x#0#6*%£,
8545,,y_(lowercase),(Latin English lowercase letter y) - Character,WHITE,y (lilla),(Latin English lowercase letter y)  - Character,y (liten bokstav),,y (pieni kirjain),y (kisbetű),y (Kleinbuchstabe),y (kleine letter),y (kleinletter),y (строчная буква),y (lágstafur),y_ (mažoji),y (mazais burts),y (mała litera),y (lettre minuscule),y (letra minúscula),y (letra minúscula),y (lettera minuscola),y (lille bogstav),Z#1#1#0#0#10#35#11#y#0#6*%£,
8546,,z_(lowercase),(Latin English lowercase letter z) - Character,WHITE,z (lilla),(Latin English lowercase letter z)  - Character,z (liten bokstav),,z (pieni kirjain),z (kisbetű),z (Kleinbuchstabe),z (kleine letter),z (kleinletter),z (строчная буква),z (lágstafur),z_ (mažoji),z (mazais burts),z (mała litera),z (lettre minuscule),z (letra minúscula),z (letra minúscula),z (lettera minuscola),z (lille bogstav),Z#1#1#0#0#10#35#11#z#0#6*%£,
8551,,A_(uppercase),(Latin English uppercase letter A) - Character,WHITE,A (stora),(Latin English uppercase letter A)  - Character,A (stor bokstav),,A (iso kirjain),A (nagybetű),A (Großbuchstabe),A (hoofdletter),A (hoofletter),A (прописная буква),A (hástafur),A_ (didžioji),A (lielais burts),A (wielka litera),A (lettre majuscule),A (letra mayúscula),A (letra maiúscula),A (lettera maiuscola),A (stort bogstav),Z#1#1#0#0#10#35#11#A#0#6*%£,
8552,,B_(uppercase),(Latin English uppercase letter B) - Character,WHITE,B (stora),(Latin English uppercase letter B)  - Character,B (stor bokstav),,B (iso kirjain),B (nagybetű),B (Großbuchstabe),B (hoofdletter),B (hoofletter),B (прописная буква),B (hástafur),B_ (didžioji),B (lielais burts),B (wielka litera),B (lettre majuscule),B (letra mayúscula),B (letra maiúscula),B (lettera maiuscola),B (stort bogstav),Z#1#1#0#0#10#35#11#B#0#6*%£,
8553,,C_(uppercase),(Latin English uppercase letter C) - Character,WHITE,C (stora),(Latin English uppercase letter C)  - Character,C (stor bokstav),,C (iso kirjain),C (nagybetű),C (Großbuchstabe),C (hoofdletter),C (hoofletter),C (прописная буква),C (hástafur),C_ (didžioji),C (lielais burts),C (wielka litera),C (lettre majuscule),C (letra mayúscula),C (letra maiúscula),C (lettera maiuscola),C (stort bogstav),Z#1#1#0#0#10#35#11#C#0#6*%£,
8554,,D_(uppercase),(Latin English uppercase letter D) - Character,WHITE,D (stora),(Latin English uppercase letter D)  - Character,D (stor bokstav),,D (iso kirjain),D (nagybetű),D (Großbuchstabe),D (hoofdletter),D (hoofletter),D (прописная буква),D (hástafur),D_ (didžioji),D (lielais burts),D (wielka litera),D (lettre majuscule),D (letra mayúscula),D (letra maiúscula),D (lettera maiuscola),D (stort bogstav),Z#1#1#0#0#10#35#11#D#0#6*%£,
8555,,E_(uppercase),(Latin English uppercase letter E) - Character,WHITE,E (stora),(Latin English uppercase letter E)  - Character,E (stor bokstav),,E (iso kirjain),E (nagybetű),E (Großbuchstabe),E (hoofdletter),E (hoofletter),E (прописная буква),E (hástafur),E_ (didžioji),E (lielais burts),E (wielka litera),E (lettre majuscule),E (letra mayúscula),E (letra maiúscula),E (lettera maiuscola),E (stort bogstav),Z#1#1#0#0#10#35#11#E#0#6*%£,
8556,,F_(uppercase),(Latin English uppercase letter F) - Character,WHITE,F (stora),(Latin English uppercase letter F)  - Character,F (stor bokstav),,F (iso kirjain),F (nagybetű),F (Großbuchstabe),F (hoofdletter),F (hoofletter),F (прописная буква),F (hástafur),F_ (didžioji),F (lielais burts),F (wielka litera),F (lettre majuscule),F (letra mayúscula),F (letra maiúscula),F (lettera maiuscola),F (stort bogstav),Z#1#1#0#0#10#35#11#F#0#6*%£,
8557,,G_(uppercase),(Latin English uppercase letter G) - Character,WHITE,G (stora),(Latin English uppercase letter G)  - Character,G (stor bokstav),,G (iso kirjain),G (nagybetű),G (Großbuchstabe),G (hoofdletter),G (hoofletter),G (прописная буква),G (hástafur),G_ (didžioji),G (lielais burts),G (wielka litera),G (lettre majuscule),G (letra mayúscula),G (letra maiúscula),G (lettera maiuscola),G (stort bogstav),Z#1#1#0#0#10#35#11#G#0#6*%£,
8558,,H_(uppercase),(Latin English uppercase letter H) - Character,WHITE,H (stora),(Latin English uppercase letter H)  - Character,H (stor bokstav),,H (iso kirjain),H (nagybetű),H (Großbuchstabe),H (hoofdletter),H (hoofletter),H (прописная буква),H (hástafur),H_ (didžioji),H (lielais burts),H (wielka litera),H (lettre majuscule),H (letra mayúscula),H (letra maiúscula),H (lettera maiuscola),H (stort bogstav),Z#1#1#0#0#10#35#11#H#0#6*%£,
8559,,I_(uppercase),(Latin English uppercase letter I) - Character,WHITE,I (stora),(Latin English uppercase letter I)  - Character,I (stor bokstav),,I (iso kirjain),I (nagybetű),I (Großbuchstabe),I (hoofdletter),I (hoofletter),I (прописная буква),I (hástafur),I_ (didžioji),I (lielais burts),I (wielka litera),I (lettre majuscule),I (letra mayúscula),I (letra maiúscula),I (lettera maiuscola),I (stort bogstav),Z#1#1#0#0#10#35#11#I#0#6*%£,
